Name,DOI
Social interaction online,10.1080/0144929X.2015.1064591
The relationship between motivation and information sharing about products and services on Facebook,10.1080/0144929X.2014.988177
The effects of generational differences on use continuance of Twitter: an investigation of digital natives and digital immigrants,10.1080/0144929X.2015.1046928
Predicting Asian undergraduates intention to continue using social network services from negative perspectives,10.1080/0144929X.2015.1027736
The effects of reading and writing habits on blog adoption,10.1080/0144929X.2015.1022224
Adoption of travel information in user-generated content on social media: the moderating effect of social presence,10.1080/0144929X.2015.1039060
Sound information seeking in Web 2.0 virtual communities: the moderating effect of mindfulness,10.1080/0144929X.2015.1027876
DOBNet: exploiting the discourse of deception behaviour to uncover online deception strategies,10.1080/0144929X.2015.1016116
"Vol: 34, Issue: 10",
User experience,10.1080/0144929X.2015.1077578
"Study of using a multi-touch tabletop technology to facilitate collaboration, interaction, and awareness in co-located environment",10.1080/0144929X.2014.942755
Affective forecasting of value creation: professional nurses' ability to predict and remember the experienced value of a telemedicine diagnostics ICT service,10.1080/0144929X.2014.978379
Defining user experience goals to guide the design of industrial systems,10.1080/0144929X.2015.1035335
"Usability, expectation, confirmation, and continuance intentions to use electronic textbooks",10.1080/0144929X.2015.1039061
Impact of virtual atmospherics and functional qualities on the online gambler's experience,10.1080/0144929X.2015.1046930
Determinants of online safety behaviour: towards an intervention strategy for college students,10.1080/0144929X.2015.1028448
"Vol: 34, Issue: 11",
Editorial,10.1080/0144929X.2015.1087725
Elderly user experience to improve a Kinect-based game playability,10.1080/0144929X.2015.1077889
The use and acceptance of new media entertainment technology by elderly users: development of an expanded technology acceptance model,10.1080/0144929X.2015.1077890
Comparison of engagement and emotional responses of older and younger adults interacting with 3D cultural heritage artefacts on personal devices,10.1080/0144929X.2015.1056548
Multiple voices in ICT design with children  a nexus analytical enquiry,10.1080/0144929X.2014.1003327
StencilMaps and EphemeralMaps: spatially stable interfaces that highlight command subsets,10.1080/0144929X.2015.1046927
The effect of communicational signals on drivers' subjective appraisal and visual attention during interactive driving scenarios,10.1080/0144929X.2015.1056547
"Looks familiar, appears more valid? The moderating role of computer-supported warnings between information repetition and decision outcome",10.1080/0144929X.2015.1069397
"Cyberconnecting: the three lenses of diversity, by Priya E. Abraham, Gower, 2015",10.1080/0144929X.2015.1076643
"Vol: 34, Issue: 12",
Editorial,10.1080/0144929X.2015.1108590
Understanding consumers' mobile channel continuance: an empirical investigation of two fitness mechanisms,10.1080/0144929X.2014.988176
Emotional attachment and multidimensional self-efficacy: extension of innovation diffusion theory in the context of eBook reader,10.1080/0144929X.2015.1004648
The moderation effect of user-type (educators vs. students) in learning management system continuance,10.1080/0144929X.2015.1004651
Effect of external factors on intentionbehaviour gap,10.1080/0144929X.2015.1055801
Coalition formation during technology adoption,10.1080/0144929X.2015.1046929
A hybrid decision-making model for factors influencing the purchase intentions of technology products: the moderating effect of lifestyle,10.1080/0144929X.2015.1019566
"The handbook of the psychology of communication technology, edited by S. Shyam Sundar, Chichester, John Wiley & Sons, 2015",10.1080/0144929X.2015.1096099
Corrigendum,10.1080/0144929X.2015.1106771
A tribute to our reviewers,10.1080/0144929X.2015.1106748
Reviewers JanuaryNovember 2015,10.1080/0144929X.2015.1106749
Editorial Board,10.1080/0144929X.2015.1106752
"Vol: 33, Issue: 1",
Too Young for Technology?,10.1080/0144929X.2014.883767
"Adaptive training interfaces for less-experienced, elderly users of electronic devices",10.1080/0144929X.2013.833649
The impact of self-efficacy and perceived system efficacy on effectiveness of virtual training systems,10.1080/0144929X.2012.681067
Blog learning: effects of users' usefulness and efficiency towards continuance intention,10.1080/0144929X.2012.687772
Effects of individuals' locus of control and computer self-efficacy on their e-learning acceptance in high-tech companies,10.1080/0144929X.2012.702284
The nature and components of perceived behavioural control as an element of theory of planned behaviour,10.1080/0144929X.2011.630419
Under pressure to sext? Applying the theory of planned behaviour to adolescent sexting,10.1080/0144929X.2013.837099
A life in error  fromlittle slips to big disasters,10.1080/0144929X.2013.871110
"Vol: 33, Issue: 2",
Editorial,10.1080/0144929X.2014.891684
Usability of affective interfaces for a digital arts tutoring system,10.1080/0144929X.2012.702356
"The influence of the search complexity and the familiarity with the website on the subjective appraisal of aesthetics, mental effort and usability",10.1080/0144929X.2013.819936
The development of a panorama manifestation virtual reality system for navigation and a usability comparison with a desktop system,10.1080/0144929X.2013.857432
What you get is what you see: revisiting the evaluator effect in usability tests,10.1080/0144929X.2013.783114
The impact of two different think-aloud instructions in a usability test: a case of just following orders?,10.1080/0144929X.2012.708786
Exploring the Critical Factors Influencing the Quality of Blog Interfaces Using the Decision-Making Trial and Evaluation Laboratory (DEMATEL) Method,10.1080/0144929X.2012.695395
Must evaluation methods be about usability? Devising and assessing the utility inspection method,10.1080/0144929X.2012.751708
"Vol: 33, Issue: 3",
Editorial,10.1080/0144929X.2014.893611
Attitudes towards software piracy in South Africa: Knowledge of Intellectual Property Laws as a moderator,10.1080/0144929X.2012.688870
The study of perceived adverse effects of digital piracy and involvement: insights from adult computer users,10.1080/0144929X.2012.753552
User preference of cyber security awareness delivery methods,10.1080/0144929X.2012.708787
Collective activities in a technology-mediated medical team. An analysis of epidemiological alert management,10.1080/0144929X.2011.638396
Technology-mediated information sharing between patients and clinicians in primary care encounters,10.1080/0144929X.2013.780636
Observing the use of an input device for rehabilitation purposes,10.1080/0144929X.2013.795607
Exploring the potential of virtual worlds in engaging older people and supporting healthy aging,10.1080/0144929X.2012.691552
Promoting healthy computer use: timing-informed computer health animations for prolonged sitting computer users,10.1080/0144929X.2012.695394
Erratum,10.1080/0144929X.2014.905342
"Vol: 33, Issue: 4",
Editorial,10.1080/0144929X.2014.909126
Measuring and evaluating IS expectations and benefit success from B2B electronic trading: a new survey approach,10.1080/0144929X.2012.690781
Realising M-Payments: modelling consumers' willingness to M-pay using Smart Phones,10.1080/0144929X.2012.745608
Attitudes towards mobile banking: are there any differences between users and non-users?,10.1080/0144929X.2013.763861
Facebook and socio-economic benefits in the developing world,10.1080/0144929X.2013.810775
A comparative study of two wayfinding aids for simulated driving tasks  single-scale and dual-scale GPS aids,10.1080/0144929X.2012.719032
Experiments on user experiences with recommender interfaces,10.1080/0144929X.2012.719034
Factors influencing behavioural intention to patronise restaurants using iPad as a menu card,10.1080/0144929X.2013.810776
A comparative study of scores on computer-based tests and paper-based tests,10.1080/0144929X.2012.710647
"Vol: 33, Issue: 5",
Editorial,10.1080/0144929X.2014.914810
Using OWL-VisMod through a decision-making process for reusing OWL ontologies,10.1080/0144929X.2012.709538
Ontology engineering step in design science research methodology: a technique to gather and reuse knowledge,10.1080/0144929X.2013.815276
Adoption of the Internet for knowledge acquisition in R&D processes,10.1080/0144929X.2013.765035
An application framework for developing collaborative handheld decision-making tools,10.1080/0144929X.2013.815275
Knowledge processes in virtual teams: consolidating the evidence,10.1080/0144929X.2012.719033
Examining the role of perceived value in virtual communities continuance: its antecedents and the influence of experience,10.1080/0144929X.2012.745607
Determinants of knowledge seeking in professional virtual communities,10.1080/0144929X.2013.864709
Social virtual world continuance among teens: uncovering the moderating role of perceived aggregate network exposure,10.1080/0144929X.2013.872190
"Vol: 33, Issue: 6",
Editorial,10.1080/0144929X.2014.919761
Older adults use of smart phones: an investigation of the factors influencing the acceptance of new functions,10.1080/0144929X.2013.780637
Redesigning websites for older adults: a case study,10.1080/0144929X.2013.810777
Can ICT improve the quality of life of elderly adults living in residential home care units? From actual impacts to hidden artefacts,10.1080/0144929X.2013.832382
Effects of perceptual complexity on older and younger adults target acquisition performance,10.1080/0144929X.2013.847974
Promoting in-depth reading experience and acceptance: design and assessment of Tablet reading interfaces,10.1080/0144929X.2012.759625
Facilitating shared understanding of work situations using a tangible tabletop interface,10.1080/0144929X.2013.833293
The importance of interface complexity and entropy for online information sharing,10.1080/0144929X.2013.845910
A comparative study using an autostereoscopic display with augmented and virtual reality,10.1080/0144929X.2013.815277
Testing Einstein's faux formula: fast computers+slow humans=creative brilliance,10.1080/0144929X.2013.822019
"Vol: 33, Issue: 7",
Editorial,10.1080/0144929X.2014.926164
Continual use of microblogs,10.1080/0144929X.2013.816774
Continuance use intention of enterprise instant messaging: a knowledge management perspective,10.1080/0144929X.2014.886722
Mobile phone purchase and usage behaviours of early adopter groups in Korea,10.1080/0144929X.2013.796001
Testing the moderating role of need for cognition in smartphone adoption,10.1080/0144929X.2013.825643
Predicting the use of online information services based on a modified UTAUT model,10.1080/0144929X.2013.872187
Understanding consumers continuance intention towards mobile advertising: a theoretical framework and empirical study,10.1080/0144929X.2013.789081
"Gender, culture and determinants of behavioural intents to adopt mobile commerce among the Y Generation in transition economies: evidence from Kazakhstan",10.1080/0144929X.2013.805243
Prevalence of internet addiction in the general population: results from a German population-based survey,10.1080/0144929X.2013.810778
Do broadband adoption rates impact a community's health?,10.1080/0144929X.2013.830334
"Vol: 33, Issue: 8",
Thinking beyond the box: designing interactive TV across different devices,10.1080/0144929X.2014.927163
User interface guidelines for the control of interactive television systems via smart phone applications,10.1080/0144929X.2013.810782
Extending the field of view: a human-centred design perspective on 360° TV,10.1080/0144929X.2013.810780
Impacts of new technologies on media usage and social behaviour in domestic environments,10.1080/0144929X.2013.832383
PalmRC: leveraging the palm surface as an imaginary eyes-free television remote control,10.1080/0144929X.2013.810781
Composition and role of convergent technological repertoires in audiovisual media consumption,10.1080/0144929X.2013.872189
New interaction modes for rich panoramic live video experiences,10.1080/0144929X.2014.914975
"Vol: 33, Issue: 9",
Experiments and studies,10.1080/0144929X.2014.944038
The effects of a computer malfunction on subsequent task performance,10.1080/0144929X.2012.733412
Maintaining intimacy at a distance: an exploration of humancomputer interaction's approach to mediating intimacy,10.1080/0144929X.2013.791722
Personalised and dynamic image precompensation for computer users with ocular aberrations,10.1080/0144929X.2013.819937
A comparison of image inspection modes for a visual search and rescue task,10.1080/0144929X.2013.826284
Investigating the effects of sound masking on the use of audio CAPTCHAs,10.1080/0144929X.2014.898793
Effect of driving experience on collision avoidance braking: an experimental investigation and computational modelling,10.1080/0144929X.2014.902100
Attitudes towards robots suitability for various jobs as affected robot appearance,10.1080/0144929X.2013.783115
Traces and activity: a case study of a joint writing process mediated by a digital environment,10.1080/0144929X.2013.819528
Design requirements for persuasive technologies to motivate physical activity in adolescents: a field study,10.1080/0144929X.2013.841755
Identifying emotion by keystroke dynamics and text pattern analysis,10.1080/0144929X.2014.907343
"Vol: 33, Issue: 10",
EDITORIAL,10.1080/0144929X.2014.959362
Evaluation of the interactivity of students in virtual learning environments using a multicriteria approach and data mining,10.1080/0144929X.2013.853838
Computers and types of control in relation to work stress and learning,10.1080/0144929X.2014.916351
Empirical study on continuance intentions towards E-Learning 2.0 systems,10.1080/0144929X.2014.934291
The effect of levels of processing with navigation design types on recall and retention in e-learning environments,10.1080/0144929X.2014.945963
Exploring determinants of adoption intentions towards Enterprise 2.0 applications: an empirical study,10.1080/0144929X.2013.781221
Factors affecting the performance of Enterprise Resource Planning (ERP) systems in the post-implementation stage,10.1080/0144929X.2013.799229
Distinguishing the adoption of business intelligence systems from their implementation: the role of managers personality profiles,10.1080/0144929X.2013.869260
CRUDi framework proposal: financial industry application,10.1080/0144929X.2014.914976
Human Factors in Lighting,10.1080/0144929X.2014.949422
"Vol: 33, Issue: 11",
EDITORIAL,10.1080/0144929X.2014.964533
Informal feedback rather than performance measurements  user-centred evaluation in Scrum projects,10.1080/0144929X.2013.857430
Towards a contingency approach with whitelist- and blacklist-based anti-phishing applications: what do usability tests indicate?,10.1080/0144929X.2013.875221
Barefoot usability evaluations,10.1080/0144929X.2014.883552
Studying the effect of perceived hedonic mobile device quality on user experience evaluations of mobile applications,10.1080/0144929X.2013.848239
Expressive and classical aesthetics: two distinct concepts with highly similar effect patterns in userartefact interaction,10.1080/0144929X.2013.853835
Revisiting the two-stage choice model: an empirical study of consumer choice on brand website visits,10.1080/0144929X.2013.872188
See you on Facebook: exploring influences on Facebook continuous usage,10.1080/0144929X.2013.826737
Does confirmation always matter? Extending confirmation-based theories,10.1080/0144929X.2013.857431
The acceptance of information technology innovations in hospitals: differences between early and late adopters,10.1080/0144929X.2013.810779
"Vol: 33, Issue: 12",
Editorial,10.1080/0144929X.2014.972655
The significance of attitudes towards evidence-based practice in information technology use in the health sector: an empirical investigation,10.1080/0144929X.2013.774048
Night optimised care technology for users needing assisted lifestyles,10.1080/0144929X.2013.816773
Formal verification of collaboration patterns in healthcare,10.1080/0144929X.2013.824506
Are mobile phone conversations always so annoying? The need-to-listen effect re-visited,10.1080/0144929X.2013.876098
The drivers of consumers intention to redeem a push mobile coupon,10.1080/0144929X.2014.883641
Tactful calling: investigating asymmetric social dilemmas in mobile communications,10.1080/0144929X.2014.928743
A framework for mobile SNS advertising effectiveness: user perceptions and behaviour perspective,10.1080/0144929X.2014.928906
"Always connected, but are smart mobile users getting more security savvy? A survey of smart mobile device users",10.1080/0144929X.2014.934286
The influence of cognitive conflict on the result of collaborative editing in Wikipedia,10.1080/0144929X.2013.795606
The reasons why people continue editing Wikipedia content  task value confirmation perspective,10.1080/0144929X.2014.929744
Crowdsourcing contests: understanding the effect of competitors participation history on their performance,10.1080/0144929X.2014.883551
Editorial Board,10.1080/0144929X.2014.976993
"Vol: 32, Issue: 1",
"New year, new iPad",10.1080/0144929X.2013.765096
Bridging the digital divide  an Australian story,10.1080/0144929X.2011.572186
Public Internet access points (PIAPs) and their social impact: a case study from Turkey,10.1080/0144929X.2011.582149
Social capital: the benefit of Facebook friends,10.1080/0144929X.2010.550063
The effects of a Creative Commons approach on collaborative learning,10.1080/0144929X.2011.572184
User experience in social commerce: in friends we trust,10.1080/0144929X.2012.692167
Exploring the use of design pattern maps for aligning new technical support to new clinical team meeting routines,10.1080/0144929X.2011.553749
Implementing telemedicine technologies through an unlearning context in a homecare setting,10.1080/0144929X.2011.586726
Satisfaction with health status among cyber patients: testing a mediation model of electronic coping support,10.1080/0144929X.2011.603359
"Vol: 32, Issue: 2",
Editorial,10.1080/0144929X.2013.776310
Investigating memory constraints on recall of options in interactive voice response system messages,10.1080/0144929X.2011.563800
Subjective responses to synthesised speech with lexical emotional content: the effect of the naturalness of the synthetic voice,10.1080/0144929X.2012.702285
Psychological costs of support seeking and choice of communication channel,10.1080/0144929X.2010.518248
The role of information and communication technologies in the relationship between group potency and group maintenance outcomes: a longitudinal study,10.1080/0144929X.2011.630421
Smart TV: are they really smart in interacting with people? Understanding the interactivity of Korean Smart TV,10.1080/0144929X.2011.603360
An investigation of employees' use of e-learning systems: applying the technology acceptance model,10.1080/0144929X.2011.577190
A development of learning widget on m-learning and e-learning environments,10.1080/0144929X.2011.605907
Exploring the user experience of three-dimensional virtual learning environments,10.1080/0144929X.2011.606334
"Vol: 32, Issue: 3",
Editorial,10.1080/0144929X.2013.776789
Exploring perceptions toward biometric technology in service encounters: a comparison of current users and potential adopters,10.1080/0144929X.2011.553741
Adoption of free and open source software within high-velocity firms,10.1080/0144929X.2011.596995
Systems approach for analysing problems in IT system adoption at work,10.1080/0144929X.2011.624638
The effect of flow experience on user adoption of mobile TV,10.1080/0144929X.2011.650711
Towards a more accessible e-government in Jordan: an evaluation study of visually impaired users and Web developers,10.1080/0144929X.2011.630416
An empirical study of cultural dimensions and e-government development: implications of the findings and strategies,10.1080/0144929X.2011.644580
Identification of new added value services on intelligent transportation systems,10.1080/0144929X.2010.529942
"Vol: 32, Issue: 4",
EDITORIAL,10.1080/0144929X.2013.790578
Personality and technology acceptance: the influence of personality factors on the core constructs of the Technology Acceptance Model,10.1080/0144929X.2011.553740
User satisfaction affecting the acceptance of an e-learning platform as a mean for the development of the human capital,10.1080/0144929X.2011.630417
The importance of identification for the acceptance of consumer electronics on the example of the Wii,10.1080/0144929X.2012.724085
Antecedents of information systems user behaviour  extended expectation-confirmation model,10.1080/0144929X.2011.554575
Why do we blog? From the perspectives of technology acceptance and media choice factors,10.1080/0144929X.2012.656326
Counterfactual thinking and anticipated emotions enhance performance in computer skills training,10.1080/0144929X.2010.550319
An empirical investigation of the consumer demand for digital television application services,10.1080/0144929X.2011.608810
An investigation of the intention to share media files over peer-to-peer networks,10.1080/0144929X.2011.558591
"Vol: 32, Issue: 5",
Netlife: Living and Working with the Internet,10.1080/0144929X.2013.796693
"Navigating a car in an unfamiliar country using an internet map: effects of street language formats, map orientation consistency, and gender on driver performance, workload and multitasking strategy",10.1080/0144929X.2011.566941
The new neighbourhood in the internet era: network communities serving local communities,10.1080/0144929X.2011.610825
Controllable accountabilities: the Internet of Things and its challenges for organisations,10.1080/0144929X.2012.674157
Why don't consumers go internet shopping in Korea? Segmentation of consumer lifestyle approach,10.1080/0144929X.2012.687771
The equivalence of Internet versus paper-based surveys in IT/IS adoption research in collectivistic cultures: the impact of satisficing,10.1080/0144929X.2012.751621
Analysing the visual complexity of web pages using document structure,10.1080/0144929X.2012.726647
Interaction of textual and graphical information in locating web page widgets,10.1080/0144929X.2011.650709
"Vol: 32, Issue: 6",
Editorial: Web based cooperation and collaboration,10.1080/0144929X.2013.805514
"Collaboration processes, outcomes, challenges and enablers of distributed clinical communities of practice",10.1080/0144929X.2011.602426
A text categorisation tool for open source communities based on semantic analysis,10.1080/0144929X.2011.624634
Pre-release member participation as potential predictors of post-release community members adoption behaviour: evidence from the motion picture industry,10.1080/0144929X.2012.681069
Verbal irony use in personal blogs,10.1080/0144929X.2011.630418
"Continuance intention of blog users: the impact of perceived enjoyment, habit, user involvement and blogging time",10.1080/0144929X.2012.671851
Phishing for phishing awareness,10.1080/0144929X.2011.632650
Using Facebook out of habit,10.1080/0144929X.2012.659218
The influence of equivocality in purchasing tasks on the selection of transaction channels in online auctions,10.1080/0144929X.2011.624636
Uploaders' definition of the networked public on YouTube and their feedback preferences: a multi-method approach,10.1080/0144929X.2011.586727
Computer access for people with disabilities: a human factors approach,10.1080/0144929X.2013.796625
"Vol: 32, Issue: 7",
Editorial,10.1080/0144929X.2013.834701
The effects of the number of alternative products and the way they are presented on the consumers' subjective statuses in online travel sites,10.1080/0144929X.2011.572185
Cultural differences in online beer marketing: findings from automated attention analysis,10.1080/0144929X.2013.789080
Online and mobile customer behaviour: a critical evaluation of Grounded Theory studies,10.1080/0144929X.2013.789082
Acceptance of online banking information systems: an empirical case in a developing economy,10.1080/0144929X.2013.806593
E-banking in Jordan,10.1080/0144929X.2011.586725
Showering behavioural response to alarming visual display monitors: longitudinal mixed method study,10.1080/0144929X.2011.577195
An effective online teaching method: the combination of collaborative learning with initiation and self-regulation learning with feedback,10.1080/0144929X.2012.667441
Challenges of designing for sociability to enhance player experience in Massively Multi-player Online Role-playing Games,10.1080/0144929X.2012.754497
Mechanisms underlying aggravation and relaxation of virtual aggression: a Second Life survey study,10.1080/0144929X.2013.801079
Corrigendum to the paper Effects of search interface and Internet-specific epistemic beliefs on source evaluations during Web search for medical information: an eye-tracking study,10.1080/0144929X.2011.633820
"Vol: 32, Issue: 8",
"Ergonomics, usability and accessibilty",10.1080/0144929X.2013.839367
Focus groups as a requirements gathering method with adults with severe speech and physical impairments,10.1080/0144929X.2011.566939
Highlighting items as means of adaptive assistance,10.1080/0144929X.2011.650710
"Post-error expression of speed and force while performing a simple, monotonous task with a haptic pen",10.1080/0144929X.2011.624635
Towards a full emotional system,10.1080/0144929X.2011.624639
Perceptions of electronic navigation displays,10.1080/0144929X.2011.639806
Exploring the cognitive costs and benefits of using multiple-view visualisations,10.1080/0144929X.2011.630420
Gaze-augmented interaction improves problem-solving: new evidence from verbal protocols,10.1080/0144929X.2012.659216
Evaluating 2D and 3D geovisualisations for basic spatial assessment,10.1080/0144929X.2012.661555
"Vol: 32, Issue: 9",
Editorial,10.1080/0144929X.2013.841366
The moderating role of sensation seeking tendency in robotic haptic interfaces,10.1080/0144929X.2012.687769
Designing touchpad user-interfaces for right-hand drive vehicles: an investigation into where the touchpad should be located,10.1080/0144929X.2012.664784
Effects of display modality on critical battlefield e-map search performance,10.1080/0144929X.2012.702286
A comparative study of information input devices for aging computer users,10.1080/0144929X.2012.692100
User requirements of social media for the elderly: a case study in Taiwan,10.1080/0144929X.2012.681068
Exploring how children use their hands to think: an embodied interactional analysis,10.1080/0144929X.2011.630415
An exploratory study on how children interact with pedagogic conversational agents,10.1080/0144929X.2012.687774
"Vol: 32, Issue: 10",
Technology and social behaviour,10.1080/0144929X.2013.856121
Measuring social behaviour as an indicator of experience,10.1080/0144929X.2011.582148
Effects of technical and social design on virtual community identification: a comparison approach,10.1080/0144929X.2013.828776
Social construction of information systems in the banking sector,10.1080/0144929X.2012.688869
Dissecting social engineering,10.1080/0144929X.2013.763860
Knowledge sharing in information system development teams: examining the impact of shared mental model from a social capital theory perspective,10.1080/0144929X.2012.745901
"Trust, empathy, social identity, and contribution of knowledge within patient online communities",10.1080/0144929X.2013.819529
My mom's on Facebook: an evaluation of information sharing depth in social networking,10.1080/0144929X.2013.816775
An investigation of the impact of media capabilities and extraversion on social presence and user satisfaction,10.1080/0144929X.2013.830335
"Vol: 32, Issue: 11",
Editorial,10.1080/0144929X.2013.858471
Decisions in software development projects management. An exploratory study,10.1080/0144929X.2011.630414
Kilowhat? A multidisciplinary approach on the development of a home energy management system,10.1080/0144929X.2012.740638
The contingent effect of personal IT innovativeness and IT self-efficacy on innovative use of complex IT,10.1080/0144929X.2011.566940
Exploring the determinants of IS developers behavioural intention to learn business skills,10.1080/0144929X.2013.780638
Web-enabled wireless technology: an exploratory study of adoption and continued use intentions,10.1080/0144929X.2012.708785
The role of attributional judgments when adopted computing technology fails: a comparison of Microsoft Windows PC user perceptions of Windows and Macs,10.1080/0144929X.2012.751620
An empirical investigation linking learners adoption of blended learning to their intention of full e-learning,10.1080/0144929X.2013.774047
Strategic demand forecasts for the tablet PC market using the Bayesian mixed logit model and market share simulations,10.1080/0144929X.2011.634435
User experience in social commerce: in friends we trust,10.1080/0144929X.2013.782138
Exploring the user experience of 3D virtual learning environments,10.1080/0144929X.2013.782139
Smart TV: Are they really smart in interacting with people? Understanding the interactivity of Korean smart TV,10.1080/0144929X.2013.782842
"Vol: 32, Issue: 12",
Editorial,10.1080/0144929X.2013.861140
Beyond synthesis: re-presenting heterogeneous research literature,10.1080/0144929X.2011.624633
Exploring determinants of early user acceptance for an audio-visual heritage archive service using the vignette method,10.1080/0144929X.2012.726648
"Modelling the impact of mHealth service quality on satisfaction, continuance and quality of life",10.1080/0144929X.2012.745606
A study of executives' use of biometrics: an application of theory of planned behaviour,10.1080/0144929X.2012.659217
A multi-level socio-technical systems telecommuting framework,10.1080/0144929X.2012.705894
Understanding determinants of information systems users behaviour: a comparison of two models in the context of integrated accounting and budgeting software,10.1080/0144929X.2012.708784
Collaborative concept mapping activities in a classroom scenario,10.1080/0144929X.2011.632649
A short version of the visual aesthetics of websites inventory,10.1080/0144929X.2012.694910
Editorial Board,10.1080/0144929X.2013.862414
"Vol: 31, Issue: 1",
Cognitive modelling of web navigation,10.1080/0144929X.2011.607908
Information scent determines attention allocation and link selection among multiple information patches on a webpage,10.1080/0144929X.2011.599041
CoLiDeS+ Pic: a cognitive model of web-navigation based on semantic information from pictures,10.1080/0144929X.2011.603358
Evaluating CoLiDeS+Pic: the role of relevance of pictures in user navigation behaviour,10.1080/0144929X.2011.606335
Simulating navigation behaviour based on the architecture model Model Human Processor with Real-Time Constraints (MHP/RT),10.1080/0144929X.2011.602427
"Seeking information online: the influence of menu type, navigation path complexity and spatial ability on information gathering tasks",10.1080/0144929X.2011.602425
Incidental learning of links during navigation: the role of visuo-spatial capacity,10.1080/0144929X.2011.604103
Effects of search interface and Internet-specific epistemic beliefs on source evaluations during Web search for medical information: an eye-tracking study,10.1080/0144929X.2011.599040
"Vol: 31, Issue: 2",
Editorial,10.1080/0144929X.2012.659423
Identifying mutual engagement,10.1080/01449290903377103
Development of an assistance environment for tutors based on a co-adaptive design approach,10.1080/01449290903481418
How information organisation affects users' representation of hypertext structure and content,10.1080/01449290903544652
Integrating complex information with object displays: psychophysical evaluation of outlines,10.1080/01449290903544660
Selective attention in web forms: an exploratory case study with older people,10.1080/01449291003767920
Increasingly emotional design for growingly pragmatic users? A report from Finland,10.1080/01449291003793777
"Vol: 31, Issue: 3",
New opportunities for services and humancomputer interaction,10.1080/0144929X.2012.663650
Affective and social determinants of mobile data services adoption,10.1080/0144929X.2011.563792
Storytelling Group  a co-design method for service design,10.1080/0144929X.2011.563794
The role of HCI models in service front-end development,10.1080/0144929X.2011.563795
Lowering the line of visibility: incidental users in service encounters,10.1080/0144929X.2011.563796
The tension between user-centred design and e-government services,10.1080/0144929X.2011.563797
"Design of a patient-centric, service-oriented health care navigation system for a local health integration network",10.1080/0144929X.2011.563798
Adding user experience into the interactive service design loop: a persona-based approach,10.1080/0144929X.2011.563799
User-centred design and evaluation of EnergyCoach  an interactive energy service for households,10.1080/0144929X.2011.618778
"Vol: 31, Issue: 4",
Computers are everywhere,10.1080/0144929X.2012.675162
Marketing implications of traditional and ICT-mediated leisure activities,10.1080/01449290903121360
Cyberloafing at the workplace: gain or drain on work?,10.1080/01449290903353054
Privacy in instant messaging: an impression management model,10.1080/01449291003611326
Informing the development of a fraud prevention toolset through a situated analysis of fraud investigation expertise,10.1080/01449291003752906
User-based assessment of website creativity: a review and appraisal,10.1080/01449291003686203
The effect of experience and socio-economic status on web searching performance: a South African perspective,10.1080/01449290903488140
Connecting generations: developing co-design methods for older adults and children,10.1080/01449291003793793
Training software developers and designers to conduct usability evaluations,10.1080/01449290903398208
"Vol: 31, Issue: 5",
Editorial,10.1080/0144929X.2012.690208
"Attitude, aptitude, ability and autonomy: the emergence of offroaders, a special class of nomadic worker",10.1080/0144929X.2010.489117
Age as a moderator of attitude towards technology in the workplace: work motivation and overall job satisfaction,10.1080/0144929X.2010.513419
Reconsidering the boundaries of the cyberloafing activity: the case of a university,10.1080/0144929X.2010.549511
"The dilemma of renqing in ISD processes: interpretations from the perspectives of face, renqing and guanxi of Chinese cultural society",10.1080/0144929X.2010.504283
An agent-based debiasing framework for investment decision-support systems,10.1080/0144929X.2010.499477
Adoption of information and communication technologies and dominant management orientation in organisations,10.1080/0144929X.2010.499520
Extended conceptualisation of perceived usefulness: empirical test in the context of information system use continuance,10.1080/0144929X.2010.517272
Human performance on the flight deck,10.1080/0144929X.2012.670535
"Vol: 31, Issue: 6",
Editorial,10.1080/0144929X.2012.696951
Exploring software piracy as a factor of video game console adoption,10.1080/0144929X.2010.501154
Digital piracy intention: a comparison of theoretical models,10.1080/0144929X.2011.602424
The frequency of the dyadic influence tactics according to communication media,10.1080/0144929X.2010.549510
Using insights from email users to inform organisational email management policy,10.1080/0144929X.2010.517271
The impact of verbal interaction on driver lateral control: an experimental assessment,10.1080/0144929X.2010.518247
Developing expertise in military communications planning: do verbal reports change with experience?,10.1080/0144929X.2010.492239
An experimental investigation into the effects of information revelation in multi-attribute reverse auctions,10.1080/0144929X.2010.528028
"Vol: 31, Issue: 7",
Websites  Quality and Usability,10.1080/0144929X.2012.707372
Measuring website quality: asymmetric effect of user satisfaction,10.1080/0144929X.2010.526150
Accessibility levels of Portuguese enterprise websites: equal opportunities for all?,10.1080/0144929X.2011.563802
Predicting user attention in complex web pages,10.1080/0144929X.2012.692101
Public websites and humancomputer interaction: an empirical study of measurement of website quality and user satisfaction,10.1080/0144929X.2011.577191
A comparison of usability evaluation methods for evaluating e-commerce websites,10.1080/0144929X.2011.596996
What should a corporate website look like? The influence of Gestalt principles and visualisation in website design on the degree of acceptance and recommendation,10.1080/0144929X.2011.642893
"Vol: 31, Issue: 8",
Informal learning in work environments: training with the Social Web in the workplace,10.1080/0144929X.2012.661548
Informal learning through expertise mining in the social web,10.1080/0144929X.2011.638397
Wiki as a corporate learning tool: case study for software development company,10.1080/0144929X.2011.642894
Web-based knowledge exchange through social links in the workplace,10.1080/0144929X.2011.642895
